Emote,ID,Image URL
labas,01GX6M9TRR000DJJ63WGMEA4Z8,https://cdn.7tv.app/emote/01GX6M9TRR000DJJ63WGMEA4Z8/4x.webp
buh,01GQFT1WF80002Q9KS8SKQMHHY,https://cdn.7tv.app/emote/01GQFT1WF80002Q9KS8SKQMHHY/4x.webp
uuh,01H0405680000AJFXTYVX2PNJ7,https://cdn.7tv.app/emote/01H0405680000AJFXTYVX2PNJ7/4x.webp
lturepSmile,01GXDPB3KR000DACH8GVDFEMPM,https://cdn.7tv.app/emote/01GXDPB3KR000DACH8GVDFEMPM/4x.webp
LithuaniaCat,01HHFTRYB00008518RN3R8EZ5Y,https://cdn.7tv.app/emote/01HHFTRYB00008518RN3R8EZ5Y/4x.webp
peepoShy,01GK4EW2AG0004SH49XX2J74KJ,https://cdn.7tv.app/emote/01GK4EW2AG0004SH49XX2J74KJ/4x.webp
DIESOFCRINGE,01FCX95ZG80009QXBMY7YYTVBJ,https://cdn.7tv.app/emote/01FCX95ZG80009QXBMY7YYTVBJ/4x.webp
xdd,01FF3R5C30000FF5VVCKV49G6J,https://cdn.7tv.app/emote/01FF3R5C30000FF5VVCKV49G6J/4x.webp
Cool,01G3E8EC580004KFXXGTW7QDKM,https://cdn.7tv.app/emote/01G3E8EC580004KFXXGTW7QDKM/4x.webp
monkaSTEER,01F6NMEF1R000AAS5FM9QEG8S3,https://cdn.7tv.app/emote/01F6NMEF1R000AAS5FM9QEG8S3/4x.webp
5Head,01F6NPFQXG000AAS5FM9Q6GVCC,https://cdn.7tv.app/emote/01F6NPFQXG000AAS5FM9Q6GVCC/4x.webp
Clueless,01F6T8NM9R0007M5BTFWSP1YSJ,https://cdn.7tv.app/emote/01F6T8NM9R0007M5BTFWSP1YSJ/4x.webp
Aware,01FFWH9WV80000JT8GHDKHJNZC,https://cdn.7tv.app/emote/01FFWH9WV80000JT8GHDKHJNZC/4x.webp
COPIUM,01F6ME7ADR0000WDA7ERT9H30R,https://cdn.7tv.app/emote/01F6ME7ADR0000WDA7ERT9H30R/4x.webp
muted,01F63B8GJR000AE7CZT484KXF9,https://cdn.7tv.app/emote/01F63B8GJR000AE7CZT484KXF9/4x.webp
HUH,01FKKW7C1G0008TM5NY9QEFEDW,https://cdn.7tv.app/emote/01FKKW7C1G0008TM5NY9QEFEDW/4x.webp
ok,01G1M77D4R0004YN3NKDRR9YKJ,https://cdn.7tv.app/emote/01G1M77D4R0004YN3NKDRR9YKJ/4x.webp
Chatting,01FAK9C8MR0004HKF2ZK1YPQ5A,https://cdn.7tv.app/emote/01FAK9C8MR0004HKF2ZK1YPQ5A/4x.webp
peepoFAT,01F6QZESK8000ATZXMPM5KMFNF,https://cdn.7tv.app/emote/01F6QZESK8000ATZXMPM5KMFNF/4x.webp
NOWAYING,01GQ3WPTDR000300KQF1J7PFF8,https://cdn.7tv.app/emote/01GQ3WPTDR000300KQF1J7PFF8/4x.webp
PETTHESTREAMER,01F6NNF9TR000AAS5FM9Q2GWZS,https://cdn.7tv.app/emote/01F6NNF9TR000AAS5FM9Q2GWZS/4x.webp
