Emote Name,Image URL
EleGiggle,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_cb0cec2c9975497fa093be1c3276dd92/default/dark/3.0
NRWylder,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_37e6845ef2f14499904b9ef99e7039be/default/dark/3.0
DarthJarJar,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_d1f3a59775454943b4e2c6a6db8892a2/default/dark/3.0
StreamerU,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_0815281d279e4fa5a63da5ad847c0de7/default/dark/3.0
ZLANsup,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_bd02ce011d11477cba6b2753e19fbd55/default/dark/3.0
FeverFighter,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_fc2f39b6a62c4d7e832993eab17547d2/default/dark/3.0
McDZombieHamburglar,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_8e1771f1d00840d0b0e681a4b30b60e5/default/dark/3.0
WeDidThat,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a7ab2c184e334d4a9784e6e5d51947f7/default/dark/3.0
PewPewPew,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_587405136a8147148c77df74baaa1bf4/default/dark/3.0
JinxLUL,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4e1c5651219a462894aefa8b6720efc5/default/dark/3.0
FeelsVi,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4b51b45f35df4dd8ad45a611c9a9ec35/default/dark/3.0
AmbessaLove,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a829c76ca15f49a2bf71e1270f83fe83/default/dark/3.0
EkkoChest,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_db169cf5364e4634b529eef8b0616d94/default/dark/3.0
CaitThinking,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_50b3304bc0884c6792f13615db072a5c/default/dark/3.0
Cinheimer,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_d351c5d5e9084402b30bc39eaa3d92ae/default/dark/3.0
BratChat,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_f2fd474fbe964964b2570671575b39ea/default/dark/3.0
BigSad,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_db3cd788399347a8b2ebfb8a85f5badb/default/dark/3.0
AndalusianCrush,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_ed53f0877c984ddcadfa500347b1fd0c/default/dark/3.0
GRASSLORD,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_973cf33af6e14a92b7c5b970a9d55afd/default/dark/3.0
TWITH,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_5fa0f9da251941988f31b6d7632c021c/default/dark/3.0
SUBtember,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_bfb533e2253044f3a77d0032b2354c0b/default/dark/3.0
AnotherRecord,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_9eade28238d64e83b0219a9025d4692d/default/dark/3.0
BangbooBounce,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_f9feac06649548448b3127dd9bd7710e/default/dark/3.0
PopGhost,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_cff32f43571543828847738e27acf4ef/default/dark/3.0
KingWorldCup,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_533b8c4a9f6e4bfbb528ad39974e3481/default/dark/3.0
ChewyYAY,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_0e0a3592d8334ef5a1cfcae6f3e76acb/default/dark/3.0
GoatEmotey,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_e41e4d6808224f25ae1fb625aa26de63/default/dark/3.0
GoldPLZ,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_c1f4899e65cf4f53b2fd98e15733973a/default/dark/3.0
ForSigmar,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_db3385fb0ea54913bf58fa5554edfdf2/default/dark/3.0
TwitchConHYPE,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_13b6dd7f3a3146ef8dc10f66d8b42a96/default/dark/3.0
PopNemo,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_5d523adb8bbb4786821cd7091e47da21/default/dark/3.0
FlawlessVictory,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_0cb91e8a01c741fe9d4a0607f70395db/default/dark/3.0
PikaRamen,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a25ad7124e584c949e2f63917e3d747a/default/dark/3.0
