Emote,Count,Percentage
:D,281,40.2002861230329
LUL,69,9.871244635193133
kur,42,6.008583690987124
Kappa,37,5.293276108726753
xdd,22,3.1473533619456364
:),21,3.004291845493562
KEKW,21,3.004291845493562
<3,19,2.7181688125894135
labas,10,1.4306151645207439
ok,10,1.4306151645207439
BuddhaBar,9,1.2875536480686696
o7,8,1.144492131616595
LNK,8,1.144492131616595
mhm,7,1.0014306151645207
nezinau,7,1.0014306151645207
NotLikeThis,6,0.8583690987124464
:(,5,0.7153075822603719
SCHIZO,5,0.7153075822603719
HUH,5,0.7153075822603719
ate,5,0.7153075822603719
